flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S
2109231524,4744,False,2021-09-23T15:24:44.191,233.6666666666667,3346,M1.9,1.8943426766782068e-05,M1,M4,M2,,,,,,2021-09-23T15:20:04.190,2021-09-23T16:39:08.201,344063,271.0,38911,49.0,6399,67.0,2687,799.0,735,431.0
2109231509,716,False,2021-09-23T15:09:16.189,233.6666666666667,3345,B5.5,5.48510968201299e-07,B6,C1,B9,,,,,,2021-09-23T15:04:56.189,2021-09-23T15:16:52.190,2687,271.0,271,49.0,115,67.0,863,799.0,495,431.0
2109231450,120,False,2021-09-23T14:50:32.188,233.6666666666667,3344,B2.2,2.2143910882732598e-07,B2,B3,B2,,,,,,2021-09-23T14:49:44.188,2021-09-23T14:51:44.188,367,271.0,67,49.0,83,67.0,863,799.0,495,431.0
2109231408,216,False,2021-09-23T14:08:24.183,233.6666666666667,3343,B3.4,3.3885984862536134e-07,B3,B5,B4,,,,,,2021-09-23T14:07:12.183,2021-09-23T14:10:48.184,671,271.0,115,49.0,83,67.0,927,799.0,495,431.0
2109231350,856,False,2021-09-23T13:50:16.182,233.6666666666667,3342,B6.1,6.09927440109459e-07,B4,B7,B5,,,,,,2021-09-23T13:44:52.181,2021-09-23T13:59:08.183,1087,271.0,135,49.0,99,67.0,927,799.0,495,431.0
2109231320,84,False,2021-09-23T13:20:20.179,233.6666666666667,3341,B1.9,1.8711531879489485e-07,B2,B3,B2,,,,,,2021-09-23T13:19:52.179,2021-09-23T13:21:16.179,335,271.0,67,49.0,83,67.0,863,799.0,463,431.0
2109231240,872,False,2021-09-23T12:40:12.174,233.6666666666667,3340,B7.1,7.142312483665592e-07,B8,C2,C1,,,,,,2021-09-23T12:36:52.174,2021-09-23T12:51:24.176,4863,271.0,799,49.0,199,67.0,927,799.0,495,431.0
2109231220,180,False,2021-09-23T12:20:28.172,233.6666666666667,3339,B2.0,2.0429818903267005e-07,B2,B3,B2,,,,,,2021-09-23T12:19:04.172,2021-09-23T12:22:04.172,335,271.0,75,49.0,83,67.0,927,799.0,495,431.0
2109231138,60,False,2021-09-23T11:38:08.168,233.6666666666667,3338,B2.3,2.2894910500781407e-07,B2,B2,B2,,,,,,2021-09-23T11:37:40.168,2021-09-23T11:38:40.168,303,271.0,61,49.0,75,67.0,863,799.0,495,431.0
2109230913,32,False,2021-09-23T09:13:52.153,233.6666666666667,3337,NA,0.0,B2,B2,B2,,,,,,2021-09-23T09:13:44.153,2021-09-23T09:14:16.153,303,271.0,61,49.0,75,67.0,863,799.0,463,431.0
